0.071,0.129,-95.592,2.167,27.2,0.0
0.045,0.114,-76.077,2.167,26.7,0.0
0.018,0.114,-56.562,2.161,25.6,0.0
0.021,0.114,-57.923,2.164,24.3,0.0
0.050,0.114,-77.442,2.164,23.8,0.0
0.075,0.122,-96.961,2.168,24.1,0.0
0.092,0.122,-111.858,2.165,25.1,0.0
0.064,0.122,-92.358,2.167,25.7,0.0
0.040,0.114,-72.864,2.171,25.4,0.0
0.037,0.114,-69.636,2.158,24.6,0.0
0.076,0.114,-89.160,2.164,24.4,0.0
0.091,0.129,-105.936,2.162,25.0,0.0
0.056,0.137,-86.402,2.168,25.4,0.0
0.035,0.114,-66.922,2.160,25.0,0.0
0.053,0.137,-86.312,2.159,24.6,0.0
0.079,0.137,-102.713,2.160,25.0,0.0
0.045,0.114,-83.208,2.167,25.3,0.0
0.045,0.114,-73.289,2.161,24.8,0.0
0.069,0.114,-92.793,2.164,24.7,0.0
0.074,0.114,-94.347,2.161,25.1,0.0
0.055,0.114,-74.848,2.165,25.1,0.0
0.051,0.122,-83.568,2.166,24.7,0.0
0.092,0.114,-102.748,2.164,25.0,0.0
0.054,0.114,-83.253,2.168,25.2,0.0
0.043,0.129,-75.383,2.171,24.8,0.0
0.072,0.114,-94.877,2.165,24.8,0.0
0.067,0.114,-91.044,2.160,25.2,0.0
0.036,0.114,-71.555,2.165,25.0,0.0
0.064,0.114,-87.771,2.168,24.7,0.0
0.078,0.114,-95.712,2.167,25.1,0.0
0.047,0.114,-76.232,2.162,25.0,0.0
0.051,0.137,-84.962,2.165,24.7,0.0
0.068,0.144,-98.120,2.167,25.0,0.0
0.053,0.114,-78.646,2.164,25.1,0.0
0.050,0.114,-82.369,2.162,24.7,0.0
0.076,0.137,-100.104,2.170,25.0,0.0
0.046,0.114,-80.595,2.164,25.1,0.0
0.051,0.114,-80.505,2.164,24.8,0.0
0.075,0.114,-99.994,2.165,24.9,0.0
0.046,0.122,-82.864,2.173,25.2,0.0
0.049,0.114,-77.881,2.165,24.8,0.0
0.074,0.114,-97.376,2.161,24.9,0.0
0.051,0.137,-85.427,2.171,25.2,0.0
0.052,0.122,-76.132,2.174,24.8,0.0
0.073,0.114,-95.632,2.150,24.8,0.0
0.058,0.114,-85.607,2.160,25.2,0.0
0.049,0.114,-76.627,2.163,24.8,0.0
0.072,0.114,-96.111,2.165,24.9,0.0
0.052,0.137,-85.072,2.167,25.2,0.0
0.044,0.114,-76.962,2.167,24.8,0.0
0.077,0.137,-96.451,2.168,24.9,0.0
0.017,0.114,-53.422,2.163,24.0,0.0
0.002,0.114,-33.943,2.156,22.8,0.0
0.000,0.114,-14.445,2.150,21.5,0.0
0.000,0.114,5.050,2.149,20.6,0.0
0.000,0.114,24.543,2.150,19.8,0.0
0.005,0.114,44.050,2.164,19.2,0.0
0.025,0.114,63.544,2.165,18.1,0.0
0.054,0.114,83.049,2.163,16.7,0.0
0.087,0.114,102.578,2.161,15.3,0.0
0.114,0.122,122.077,2.161,13.4,0.0
0.249,0.122,141.587,2.151,11.0,0.0
0.143,0.114,132.318,2.160,8.0,0.0
0.116,0.114,112.947,2.161,7.8,0.0
0.063,0.114,93.518,2.173,8.3,0.0
0.039,0.114,74.018,2.167,9.4,0.0
0.046,0.114,73.134,2.169,10.5,0.0
0.069,0.114,92.633,2.166,10.9,0.0
0.111,0.114,112.128,2.165,10.6,0.0
0.120,0.122,122.422,2.154,9.8,0.0
0.083,0.114,102.938,2.160,9.3,0.0
0.048,0.114,83.453,2.168,9.8,0.0
0.077,0.114,95.102,2.171,10.3,0.0
0.119,0.114,114.601,2.160,10.1,0.0
0.085,0.122,103.232,2.164,9.6,0.0
0.056,0.114,84.912,2.165,10.0,0.0
